0 68789.1793
100 67467.3359
200 66482.5228
300 65817.0078
400 65940.2206
500 66249.2949
600 66274.0687
700 65707.6788
800 64639.0807
900 63940.7256
1000 63457.6600
1100 63388.8562
1200 63433.2497
1300 63348.8754
1400 63068.0431
1500 62475.7590
1600 62046.7385
1700 61718.9120
1800 61388.4332
1900 61134.0497
2000 61051.0764
2100 60942.8515
2200 60696.5368
2300 60540.0582
2400 60628.2224
2500 60519.4373
2600 60388.7631
2700 60276.2109
2800 60053.6343
2900 59875.2274
3000 59841.6896
3100 59816.8653
3200 59578.2797
3300 59254.8130
3400 59196.9126
3500 59315.0391
3600 59239.8966
3700 59043.3963
3800 58868.0347
3900 58825.7517
4000 58775.4998
4100 58824.2388
4200 58650.0284
4300 58406.3008
4400 58343.2088
4500 58430.4325
4600 58523.1287
4700 58405.7381
4800 58121.3442
4900 58010.3358
5000 57921.7662
5100 57892.2604
5200 57984.0768
5300 57998.1373
5400 57900.6233
5500 57885.0519
5600 57756.3953
5700 57621.0850
5800 57706.8361
5900 57924.3080
6000 57956.2816
6100 57713.7957
6200 57577.9525
6300 57647.0944
6400 57752.6229
6500 57689.8984
6600 57629.2797
6700 57684.5033
6800 57664.1121
6900 57455.6667
7000 57328.3698
7100 57087.5341
7200 57194.2192
7300 57466.7707
7400 57481.6753
7500 57113.1958
7600 57057.5020
7700 57110.3652
7800 57069.1310
7900 57072.0975
8000 57039.6308
8100 57079.8394
8200 57040.3455
8300 56981.5051
8400 56829.3327
8500 56772.7093
8600 56884.9820
8700 57071.3098
8800 57084.4536
8900 56862.1069
9000 56589.0498
9100 56667.4882
9200 56799.8629
9300 56852.9786
9400 56803.2622
9500 56655.4472
9600 56680.0036
9700 56486.2128
9800 56576.7432
9900 56550.6951
10000 56634.7720
10100 56678.5319
10200 56514.0769
10300 56481.3060
10400 56447.2379
10500 56450.2401
10600 56415.4114
10700 56415.4461
10800 56608.7265
10900 56621.8085
11000 56492.1179
11100 56451.3819
11200 56396.0163
11300 56480.9095
11400 56468.5910
11500 56293.2568
11600 56232.3260
11700 56400.8586
11800 56418.2077
11900 56431.2589
12000 56333.8375
12100 56165.7132
12200 56284.9504
12300 56354.5007
12400 56184.8365
12500 56141.5837
12600 56070.4270
12700 56072.4634
12800 56170.8268
12900 56392.0773
13000 56240.0997
13100 56212.9097
13200 56127.0700
13300 56174.8241
13400 56328.1813
13500 56476.7315
13600 56572.3293
13700 56456.7428
13800 56215.0327
13900 56328.3125
14000 56476.8012
14100 56462.4239
14200 56304.6279
14300 56419.1715
14400 56559.0547
14500 56543.9112
14600 56511.9854
14700 56342.9971
14800 56296.9043
14900 56406.3718
15000 56318.1555
15100 56250.9608
15200 56286.0721
15300 56269.4783
15400 56195.2349
15500 56322.8051
15600 56557.6427
15700 56555.4326
15800 56380.4990
15900 56202.0689
16000 56122.2668
16100 56239.2277
16200 56324.4120
16300 56500.5658
16400 56314.8584
16500 56228.7675
16600 56189.4684
16700 56285.2650
16800 56398.6770
16900 56288.9765
17000 55955.1781
17100 56074.3900
17200 56184.1027
17300 56406.1410
17400 56388.7722
17500 56134.4500
17600 56126.0257
17700 56180.9636
17800 56327.1118
17900 56400.9573
18000 56259.5837
18100 56216.4520
18200 56120.2942
18300 56306.1676
18400 56416.0650
18500 56390.6817
18600 56403.0099
18700 56398.2216
18800 56338.5480
18900 56329.8594
19000 56371.5465
19100 56245.6844
19200 56318.5684
19300 56413.2618
19400 56444.5175
19500 56351.3711
19600 56246.8602
19700 56168.8017
19800 56228.6088
19900 56258.5624
20000 56227.8601

